vendor_name,total_payment,projects,avg_cost,avg_risk,dataset_version
KHAND SHROT SAMANVAYAK SAMAGRA SIKSHA VIKASKHAND GEEDAM,1250000.0,1,1250000.0,16.38,V1
Ghanshyam Das Agrawal,1244720.0,4,311180.0,37.415,V1
THE RENUKA CO OP L AND C SOCIETY,1230450.0,1,1230450.0,16.38,V1
Anbarasan G,1229867.0,1,1229867.0,21.32,V1
Mahesh Shahi son of Tej Bahadur Shahi,1227789.0,1,1227789.0,16.38,V1
ANIKET KUMAR SINGH,1227383.0,1,1227383.0,16.38,V1
SUTRAPU RAJENDRA PRASAD,1224088.0,7,174869.7142857143,47.92,V1
vijaya kumar S,1223328.0,1,1223328.0,16.38,V1
MIKTI NATH,1217984.0,1,1217984.0,16.38,V1
Uday Khulal,1208890.0,3,402963.3333333333,44.97,V1
DIVYANSH YADAV,1202495.0,1,1202495.0,16.15,V1
Construction of Natghar near Bhosamari,1200000.0,1,1200000.0,16.15,V1
ELLAPPAN CONTRACTOR,1200000.0,1,1200000.0,16.15,V1
MM CONSTRUCTIONS,1200000.0,1,1200000.0,16.15,V1
Abhishek Sanjay Patil Kasaba Tarale Tal Radhanagari,1200000.0,1,1200000.0,16.15,V1
SHRIGANESH MAJOOR SAH SANTHA,1199810.0,1,1199810.0,16.15,V1
LAXMIKANT ANIL SOMANI,1199641.0,1,1199641.0,16.15,V1
RENGAMALAI PERUMALTHEVAR,1199609.0,1,1199609.0,16.15,V1
NALAM RAVI TEJA CONTRACTOR,1199137.0,1,1199137.0,16.15,V1
PRAKASH P,1198367.0,1,1198367.0,16.15,V1
DHIRAJ KUMAR,1197855.0,1,1197855.0,16.15,V1
RAJENDRA KUMAR YADAV,1195245.0,1,1195245.0,16.15,V1
OM KALESHWAR TRADERS,1193088.0,2,596544.0,34.37,V1
ASSISTANT ENGINEER LAEO SHEIKHPURA,1189121.0,1,1189121.0,16.15,V1
GRAMPANCHAYAT LOHDONGRI,1188142.0,1,1188142.0,16.15,V1
HP ASSOCIATES,1184484.0,2,592242.0,33.97,V1
MS INDRANI POWER,1176892.0,1,1176892.0,16.15,V1
